danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.576,0.702,11,-6.025,0,0.0607,0.0279,1.34e-05,0.313,0.277,144.969,audio_features,3Y9smXGzIcoMzg5UhItDqh,spotify:track:3Y9smXGzIcoMzg5UhItDqh,https://api.spotify.com/v1/tracks/3Y9smXGzIcoMzg5UhItDqh,https://api.spotify.com/v1/audio-analysis/3Y9smXGzIcoMzg5UhItDqh,182320,4
0.655,0.539,1,-7.596,0,0.08,0.029,0.0,0.17,0.221,119.914,audio_features,079mntueS2KWjxVqOHjG70,spotify:track:079mntueS2KWjxVqOHjG70,https://api.spotify.com/v1/tracks/079mntueS2KWjxVqOHjG70,https://api.spotify.com/v1/audio-analysis/079mntueS2KWjxVqOHjG70,168126,4
0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,audio_features,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,153190,4
0.451,0.721,7,-4.438,1,0.036,0.0016,0.0,0.222,0.459,148.004,audio_features,2QbbgXDx2EQXygowkgBJZN,spotify:track:2QbbgXDx2EQXygowkgBJZN,https://api.spotify.com/v1/tracks/2QbbgXDx2EQXygowkgBJZN,https://api.spotify.com/v1/audio-analysis/2QbbgXDx2EQXygowkgBJZN,188413,4
0.233,0.432,10,-5.957,1,0.0321,0.291,0.0,0.279,0.286,195.663,audio_features,16LGRLfaVIC5rT2ZvLk0gd,spotify:track:16LGRLfaVIC5rT2ZvLk0gd,https://api.spotify.com/v1/tracks/16LGRLfaVIC5rT2ZvLk0gd,https://api.spotify.com/v1/audio-analysis/16LGRLfaVIC5rT2ZvLk0gd,184747,3
0.705,0.544,4,-7.37,1,0.0382,0.692,0.0,0.083,0.396,89.002,audio_features,0ipt8IZ4yDC6vw3Bh7KW2W,spotify:track:0ipt8IZ4yDC6vw3Bh7KW2W,https://api.spotify.com/v1/tracks/0ipt8IZ4yDC6vw3Bh7KW2W,https://api.spotify.com/v1/audio-analysis/0ipt8IZ4yDC6vw3Bh7KW2W,167704,4
0.532,0.789,7,-5.95,1,0.0472,0.0418,0.0,0.148,0.443,99.985,audio_features,5YxhnFlztmiOKDDDkxmyh1,spotify:track:5YxhnFlztmiOKDDDkxmyh1,https://api.spotify.com/v1/tracks/5YxhnFlztmiOKDDDkxmyh1,https://api.spotify.com/v1/audio-analysis/5YxhnFlztmiOKDDDkxmyh1,188600,4
0.621,0.722,6,-4.765,1,0.0244,0.00455,0.0,0.104,0.716,105.96,audio_features,1XsUBzfpNsho6etkFNLcpR,spotify:track:1XsUBzfpNsho6etkFNLcpR,https://api.spotify.com/v1/tracks/1XsUBzfpNsho6etkFNLcpR,https://api.spotify.com/v1/audio-analysis/1XsUBzfpNsho6etkFNLcpR,168132,4
0.51,0.929,6,-4.685,1,0.0456,0.0608,5.39e-06,0.101,0.438,122.036,audio_features,1yhft6ZqYadd4GOrKrmK3a,spotify:track:1yhft6ZqYadd4GOrKrmK3a,https://api.spotify.com/v1/tracks/1yhft6ZqYadd4GOrKrmK3a,https://api.spotify.com/v1/audio-analysis/1yhft6ZqYadd4GOrKrmK3a,201350,4
0.543,0.648,1,-4.961,1,0.0311,0.172,0.0,0.329,0.617,124.053,audio_features,45nc69lqKe3kY9sit2UU6G,spotify:track:45nc69lqKe3kY9sit2UU6G,https://api.spotify.com/v1/tracks/45nc69lqKe3kY9sit2UU6G,https://api.spotify.com/v1/audio-analysis/45nc69lqKe3kY9sit2UU6G,235361,3
